id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
238,Young,8,2,1.4,684951,588875,0,0,98,3.8,42
450,Alcaraz,8,3,0.1,19296,23986,0,0,44,5.0,47
577,Lindstrøm,8,3,0.1,12791,22934,0,0,44,0.0,50
582,O'Brien,8,2,0.9,162770,102834,0,0,65,3.2,45
603,Armstrong,8,3,0.1,35572,40178,0,0,2,0.0,44
614,Metcalfe,8,3,0.0,777,1082,0,0,0,0.0,45
624,Begovic,8,1,0.2,42657,30904,0,0,0,0.0,40
627,Dixon,8,2,0.1,12908,11832,0,0,0,0.0,39
651,Mangala,8,3,0.0,5164,5312,0,0,39,0.0,50
678,Bates,8,3,0.0,2756,2261,0,0,0,0.0,45
724,Sherif,8,4,0.1,18902,11542,0,0,0,0.0,45
742,Moyes,8,5,5.3,108022,328356,0,0,137,10.8,5
773,Heath,8,3,0.0,281,189,0,0,0,0.0,45
775,Coby Ebere,8,3,0.0,287,194,0,0,0,0.0,45
803,Welch,8,2,0.0,0,0,0,0,0,0.0,40
10,Nelson,9,3,0.0,16146,18679,0,0,27,0.0,50
19,Smith Rowe,9,3,7.3,3645005,4579201,0,0,114,2.0,50
191,Andersen,9,2,3.4,273468,1719354,0,0,51,1.0,42
239,Adama,9,3,1.4,845435,780837,0,0,95,3.0,45
240,Andreas,9,3,0.8,155487,444489,0,0,81,1.0,49
241,Bassey,9,2,0.6,131118,112970,0,0,75,0.8,45
242,Benda,9,1,0.3,34233,46110,0,0,0,0.0,39
243,Cairney,9,3,0.0,4648,6915,0,0,33,2.2,48
244,Castagne,9,2,0.8,237055,426100,0,0,46,0.2,42
245,Diop,9,2,0.2,30390,39287,0,0,31,0.0,43
246,Harris,9,3,0.0,0,989,0,0,0,0.0,45
247,Iwobi,9,3,4.9,2296894,1860229,0,0,156,1.8,54
248,Leno,9,1,2.9,594796,587626,0,0,115,3.0,50
249,Lukić,9,3,0.0,8290,10980,0,0,56,1.5,48
250,Mbabu,9,2,0.1,8149,45321,0,0,0,0.0,40
251,Muniz,9,4,1.4,857876,1390576,0,0,86,0.0,55
252,Raúl,9,4,5.0,3582710,3157881,0,0,147,5.5,53
253,Ream,9,2,0.0,0,1226,0,0,0,0.0,45
254,Reed,9,3,0.0,3096,6061,0,0,10,0.2,47
255,Robinson,9,2,15.2,4106887,3466264,0,0,106,1.0,47
256,Stansfield,9,4,0.0,4673,12134,0,0,1,0.0,50
257,Tete,9,2,0.2,61052,73652,0,0,49,0.8,44
258,Vinicius,9,4,0.3,60968,101071,0,0,3,0.0,50
259,Wilson,9,3,0.2,190092,195649,0,0,78,3.0,52
579,Sessegnon,9,2,2.6,405099,133027,0,0,57,0.8,42
586,J.Cuenca,9,2,0.0,2712,6464,0,0,9,0.5,44
604,King,9,3,0.1,16729,17486,0,0,10,0.8,44
605,Godo,9,3,0.0,7523,7684,0,0,2,0.2,44
622,Berge,9,3,0.0,4941,4554,0,0,53,1.0,50
690,Amissah,9,2,0.0,4820,3962,0,0,0,0.0,40
753,Silva,9,5,0.3,27889,19979,0,0,94,2.5,11
772,Willian,9,3,0.0,2516,1630,0,0,13,0.5,50
121,Enciso,10,3,0.2,51759,38911,0,0,59,3.2,54
260,Al-Hamadi,10,4,0.2,61694,88018,0,0,8,0.0,47
261,Baggott,10,2,0.0,0,2914,0,0,0,0.0,40
262,Broadhead,10,3,0.0,2574,3241,0,0,37,2.2,49
263,Burgess,10,2,1.8,479374,340013,0,0,26,1.5,38
264,Burns,10,3,0.0,5890,13279,0,0,30,0.0,47
265,Chaplin,10,3,0.1,8181,27519,0,0,41,1.2,51
266,H.Clarke,10,2,0.0,10773,12416,0,0,1,0.0,40
267,Davis,10,2,0.9,362293,455616,0,0,52,0.5,42
268,Delap,10,4,3.3,1775209,1506229,0,0,132,1.0,56
269,Edmundson,10,2,0.1,2076,15347,0,0,1,0.0,40
270,Greaves,10,2,2.3,1028861,859991,0,0,37,1.2,38
271,Harness,10,3,0.0,347,2455,0,0,2,0.0,49
272,Hirst,10,4,0.1,18444,16138,0,0,46,2.2,54
273,Humphreys,10,3,0.0,651,5245,0,0,0,0.0,45
274,Hutchinson,10,3,0.3,92077,127096,0,0,88,2.8,52
275,Johnson,10,2,1.9,408301,573924,0,0,30,0.2,38
276,Ladapo,10,4,0.4,59882,220762,0,0,0,0.0,45
277,Luongo,10,3,0.2,77503,92221,0,0,13,0.5,43
278,Morsy,10,3,0.1,48956,61858,0,0,67,1.8,48
279,Ndaba,10,2,0.0,0,649,0,0,0,0.0,40
280,Slicker,10,1,0.6,53302,83581,0,0,0,0.0,39
281,Taylor,10,3,0.0,3535,5371,0,0,38,1.2,48
282,Tuanzebe,10,2,1.2,445433,455157,0,0,27,1.2,39
283,Walton,10,1,0.2,23977,33652,0,0,16,0.5,43
284,Woolfenden,10,2,1.2,136211,161319,0,0,18,0.2,39
359,Phillips,10,3,0.1,6846,14049,0,0,27,0.2,48
568,Muric,10,1,0.4,199421,207808,0,0,49,0.0,44
569,Jaden,10,3,0.1,10338,15335,0,0,37,0.0,53
583,Townsend,10,2,0.5,74790,70239,0,0,11,0.0,39
611,Szmodics,10,3,0.1,109552,118909,0,0,54,0.2,57
619,Cajuste,10,3,0.1,49455,38904,0,0,63,2.2,45
630,O'Shea,10,2,1.2,409893,288258,0,0,49,1.2,38
631,J.Clarke,10,3,0.0,10157,9779,0,0,53,1.2,54
632,Ogbene,10,3,0.0,2873,2908,0,0,7,0.0,48
715,Godfrey,10,2,0.0,7893,4739,0,0,-1,0.0,40
743,McKenna,10,5,0.4,28024,9973,0,0,51,1.5,5
764,Palmer,10,1,0.1,22477,12319,0,0,22,1.2,45
