id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
647,Rodney,7,3,0,0,0,0,0,0.0,0.0,0.0,0
650,Lacroix,7,2,1,2,0,9,463,723.8,113.7,277.0,3116
666,Kporha,7,2,0,0,0,0,1,8.0,4.6,0.0,11
676,Marsh,7,4,0,0,0,0,0,0.0,0.0,0.0,0
730,Esse,7,3,1,2,0,3,72,74.8,38.4,51.0,138
741,Glasner,7,5,0,0,0,0,0,0.0,0.0,0.0,0
156,Broja,8,4,0,0,0,0,23,20.2,53.8,43.0,327
217,A.Doucoure,8,3,3,2,0,5,333,352.6,379.4,348.0,2563
218,Beto,8,4,8,0,0,11,295,373.2,163.9,666.0,1521
219,Branthwaite,8,2,0,1,0,3,420,624.6,57.7,130.0,2509
220,Calvert-Lewin,8,4,3,2,0,3,157,200.2,126.1,573.0,1602
221,Coleman,8,2,0,0,0,0,17,42.4,3.8,23.0,214
222,Gana,8,3,0,3,0,5,505,522.0,327.2,117.0,3063
223,Garner,8,3,0,1,0,0,244,264.8,248.2,93.0,1590
224,Harrison,8,3,1,3,0,4,291,277.0,527.7,288.0,2068
225,Holgate,8,2,0,0,0,0,-1,0.0,0.0,0.0,5
226,Iroegbunam,8,3,0,1,0,0,82,122.2,40.9,32.0,562
227,J.Virginia,8,1,0,0,0,0,0,0.0,0.0,0.0,0
228,Keane,8,2,3,0,0,4,139,306.6,23.2,123.0,1046
229,Maupay,8,4,0,0,0,0,0,0.0,0.0,0.0,0
230,McNeil,8,3,4,8,0,9,401,392.0,631.8,207.0,1366
231,Mykolenko,8,2,1,3,0,9,467,621.4,428.5,100.0,3082
232,Ndiaye,8,4,9,0,0,21,552,598.0,326.4,493.0,2426
234,Patterson,8,2,0,1,0,0,47,71.6,70.3,12.0,342
235,Pickford,8,1,0,1,0,15,593,1052.0,20.3,0.0,3420
236,Tarkowski,8,2,1,1,0,8,468,859.0,188.8,217.0,2922
237,Y. Chermiti,8,4,0,0,0,0,9,2.4,0.6,27.0,42
238,Young,8,2,1,4,0,9,354,431.2,388.2,46.0,1864
450,Alcaraz,8,3,2,3,0,5,191,219.4,205.7,227.0,766
577,Lindstrøm,8,3,0,1,0,0,167,214.2,309.6,237.0,1229
582,O'Brien,8,2,2,0,0,5,233,341.4,108.9,109.0,1568
603,Armstrong,8,3,0,0,0,0,1,1.8,10.9,9.0,47
