id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
243,Cairney,9,3,2.2,1.3,33,610,0.0,0,0
244,Castagne,9,2,0.2,1.9,46,1642,0.8,0,0
245,Diop,9,2,0.0,1.5,31,1334,0.2,0,0
246,Harris,9,3,0.0,0.0,0,0,0.0,0,0
247,Iwobi,9,3,1.8,4.1,156,2981,4.9,0,0
248,Leno,9,1,3.0,3.0,115,3420,2.9,0,0
249,Lukić,9,3,1.5,1.9,56,2348,0.0,0,0
250,Mbabu,9,2,0.0,0.0,0,0,0.1,0,0
251,Muniz,9,4,0.0,2.8,86,943,1.4,0,0
252,Raúl,9,4,5.5,3.9,147,2486,5.0,0,0
253,Ream,9,2,0.0,0.0,0,0,0.0,0,0
254,Reed,9,3,0.2,0.8,10,100,0.0,0,0
255,Robinson,9,2,1.0,2.9,106,3166,15.2,0,0
256,Stansfield,9,4,0.0,1.0,1,1,0.0,0,0
257,Tete,9,2,0.8,2.2,49,1773,0.2,0,0
258,Vinicius,9,4,0.0,1.0,3,13,0.3,0,0
259,Wilson,9,3,3.0,3.1,78,1148,0.2,0,0
579,Sessegnon,9,2,0.8,3.6,57,574,2.6,0,0
586,J.Cuenca,9,2,0.5,1.1,9,349,0.0,0,0
604,King,9,3,0.8,1.2,10,126,0.1,0,0
605,Godo,9,3,0.2,1.0,2,21,0.0,0,0
622,Berge,9,3,1.0,1.7,53,2221,0.0,0,0
690,Amissah,9,2,0.0,0.0,0,0,0.0,0,0
753,Silva,9,5,2.5,0.0,94,0,0.3,0,0
772,Willian,9,3,0.5,1.3,13,251,0.0,0,0
121,Enciso,10,3,3.2,2.4,59,1155,0.2,0,0
260,Al-Hamadi,10,4,0.0,0.7,8,125,0.2,0,0
261,Baggott,10,2,0.0,0.0,0,0,0.0,0,0
262,Broadhead,10,3,2.2,2.1,37,690,0.0,0,0
263,Burgess,10,2,1.5,1.4,26,1540,1.8,0,0
264,Burns,10,3,0.0,1.7,30,922,0.0,0,0
265,Chaplin,10,3,1.2,1.9,41,845,0.1,0,0
266,H.Clarke,10,2,0.0,0.1,1,377,0.0,0,0
267,Davis,10,2,0.5,1.6,52,2742,0.9,0,0
268,Delap,10,4,1.0,3.6,132,2587,3.3,0,0
269,Edmundson,10,2,0.0,1.0,1,1,0.1,0,0
270,Greaves,10,2,1.2,1.5,37,2205,2.3,0,0
271,Harness,10,3,0.0,1.0,2,43,0.0,0,0
272,Hirst,10,4,2.2,1.8,46,645,0.1,0,0
273,Humphreys,10,3,0.0,0.0,0,0,0.0,0,0
274,Hutchinson,10,3,2.8,2.8,88,2585,0.3,0,0
275,Johnson,10,2,0.2,1.3,30,1346,1.9,0,0
276,Ladapo,10,4,0.0,0.0,0,0,0.4,0,0
277,Luongo,10,3,0.5,1.2,13,195,0.2,0,0
278,Morsy,10,3,1.8,2.0,67,2749,0.1,0,0
279,Ndaba,10,2,0.0,0.0,0,0,0.0,0,0
280,Slicker,10,1,0.0,0.0,0,0,0.6,0,0
281,Taylor,10,3,1.2,1.2,38,837,0.0,0,0
282,Tuanzebe,10,2,1.2,1.2,27,1710,1.2,0,0
283,Walton,10,1,0.5,2.3,16,630,0.2,0,0
284,Woolfenden,10,2,0.2,1.2,18,1187,1.2,0,0
359,Phillips,10,3,0.2,1.4,27,1231,0.1,0,0
568,Muric,10,1,0.0,2.7,49,1620,0.4,0,0
569,Jaden,10,3,0.0,1.8,37,796,0.1,0,0
583,Townsend,10,2,0.0,1.8,11,334,0.5,0,0
611,Szmodics,10,3,0.2,2.7,54,988,0.1,0,0
619,Cajuste,10,3,2.2,2.1,63,1960,0.1,0,0
630,O'Shea,10,2,1.2,1.4,49,3122,1.2,0,0
631,J.Clarke,10,3,1.2,1.7,53,1161,0.0,0,0
632,Ogbene,10,3,0.0,1.4,7,237,0.0,0,0
715,Godfrey,10,2,0.0,-0.3,-1,158,0.0,0,0
743,McKenna,10,5,1.5,0.0,51,0,0.4,0,0
764,Palmer,10,1,1.2,1.7,22,1170,0.1,0,0
799,Boniface,10,2,0.0,0.0,0,0,0.0,0,0
800,Tom Taylor,10,3,0.0,0.0,0,0,0.0,0,0
117,Buonanotte,11,3,2.0,2.4,75,1508,0.4,0,0
192,J.Ayew,11,3,3.8,2.4,75,1649,0.2,0,0
198,Edouard,11,4,0.0,1.2,7,141,0.2,0,0
285,B.Soumaré,11,3,1.8,1.5,48,2165,0.3,0,0
286,Cannon,11,4,0.0,0.0,0,0,0.3,0,0
287,Choudhury,11,3,0.0,1.0,4,129,1.0,0,0
288,Coady,11,2,5.5,1.8,39,1712,0.5,0,0
289,Daka,11,4,1.0,1.5,34,717,0.5,0,0
290,De Cordova-Reid,11,3,0.0,2.1,48,734,0.1,0,0
291,Faes,11,2,4.0,1.6,55,2812,5.2,0,0
292,Golding,11,3,0.2,1.0,1,1,0.2,0,0
293,Hermansen,11,1,0.0,2.3,63,2385,0.4,0,0
294,Iversen,11,1,0.0,0.0,0,0,0.7,0,0
295,Justin,11,2,5.0,1.9,70,2912,1.2,0,0
296,Kristiansen,11,2,0.5,1.1,34,2481,0.1,0,0
297,Marcal,11,3,0.0,0.0,0,0,0.0,0,0
298,Mavididi,11,3,0.0,2.4,72,1606,0.3,0,0
299,McAteer,11,3,3.5,1.9,35,846,0.0,0,0
300,Ndidi,11,3,2.8,2.3,64,2325,0.2,0,0
