id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,clean_sheets,minutes,bonus,bps,influence,creativity,threat,ict_index,form,value_season
187,Tosin,6,2,42,71,1,1,7,1403,7,305,352.2,48.2,92.0,49.6,3.5,16.9
189,W.Fofana,6,2,43,26,0,0,2,1172,2,162,200.2,85.0,33.0,31.9,0.0,6.0
386,Sancho,6,3,62,86,3,5,7,1754,3,367,340.0,523.2,414.0,127.5,1.0,13.9
560,Neto,6,3,61,104,4,6,8,2262,9,434,492.0,762.7,545.0,180.0,4.0,17.0
575,Wiley,6,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
581,Jørgensen,6,1,42,18,0,0,1,540,0,59,157.6,0.0,0.0,15.9,0.0,4.3
621,João Félix,6,3,59,24,1,2,1,362,0,90,88.0,95.4,141.0,32.3,0.0,4.1
695,Rak-Sakyi,6,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
696,George,6,3,45,17,1,1,1,177,0,55,67.4,72.7,32.0,17.1,0.8,3.8
697,Acheampong,6,2,40,4,0,0,0,168,0,8,13.6,2.5,13.0,2.9,0.0,1.0
740,Maresca,6,5,15,94,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.8,62.7
771,Amougou,6,3,45,1,0,0,0,7,0,2,1.0,0.9,0.0,0.2,0.0,0.2
774,Anselmino,6,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
781,Mheuka,6,4,45,1,0,0,0,1,0,5,3.0,0.0,17.0,2.0,0.0,0.2
