id,web_name,team,element_type,influence,creativity,threat,ict_index,total_points,minutes,now_cost
586,J.Cuenca,9,2,81.2,2.3,4.0,8.6,9,349,44
604,King,9,3,26.2,45.7,38.0,11.2,10,126,44
605,Godo,9,3,3.4,12.0,14.0,3.0,2,21,44
622,Berge,9,3,314.4,285.7,51.0,65.1,53,2221,50
690,Amissah,9,2,0.0,0.0,0.0,0.0,0,0,40
753,Silva,9,5,0.0,0.0,0.0,0.0,94,0,11
772,Willian,9,3,36.2,133.3,25.0,19.5,13,251,50
121,Enciso,10,3,250.8,268.9,362.0,87.7,59,1155,54
260,Al-Hamadi,10,4,5.6,25.7,32.0,6.0,8,125,47
261,Baggott,10,2,0.0,0.0,0.0,0.0,0,0,40
262,Broadhead,10,3,148.2,111.0,155.0,41.4,37,690,49
263,Burgess,10,2,422.0,87.2,103.0,61.4,26,1540,38
264,Burns,10,3,111.6,148.5,66.0,31.8,30,922,47
265,Chaplin,10,3,106.6,152.1,108.0,36.1,41,845,51
266,H.Clarke,10,2,48.2,24.4,35.0,10.5,1,377,40
267,Davis,10,2,486.8,865.4,145.0,149.6,52,2742,42
268,Delap,10,4,513.0,290.5,783.0,157.5,132,2587,56
269,Edmundson,10,2,0.0,0.0,0.0,0.0,1,1,40
270,Greaves,10,2,592.8,77.2,157.0,82.7,37,2205,38
271,Harness,10,3,9.4,1.9,6.0,1.7,2,43,49
272,Hirst,10,4,146.4,64.5,207.0,41.2,46,645,54
273,Humphreys,10,3,0.0,0.0,0.0,0.0,0,0,45
274,Hutchinson,10,3,383.2,487.5,443.0,131.5,88,2585,52
275,Johnson,10,2,276.6,177.2,92.0,54.6,30,1346,38
276,Ladapo,10,4,0.0,0.0,0.0,0.0,0,0,45
277,Luongo,10,3,34.4,6.6,4.0,4.6,13,195,43
278,Morsy,10,3,417.0,374.0,47.0,83.7,67,2749,48
279,Ndaba,10,2,0.0,0.0,0.0,0.0,0,0,40
280,Slicker,10,1,0.0,0.0,0.0,0.0,0,0,39
281,Taylor,10,3,142.0,100.5,84.0,32.4,38,837,48
282,Tuanzebe,10,2,284.4,93.4,25.0,40.1,27,1710,39
283,Walton,10,1,163.2,10.0,0.0,17.3,16,630,43
284,Woolfenden,10,2,258.4,6.7,8.0,27.5,18,1187,39
359,Phillips,10,3,181.8,116.2,41.0,33.8,27,1231,48
568,Muric,10,1,531.2,0.0,0.0,53.1,49,1620,44
569,Jaden,10,3,159.0,98.2,190.0,43.9,37,796,53
583,Townsend,10,2,110.2,56.0,13.0,18.0,11,334,39
611,Szmodics,10,3,216.0,93.0,263.0,56.7,54,988,57
619,Cajuste,10,3,284.0,209.2,59.0,54.9,63,1960,45
630,O'Shea,10,2,862.8,59.9,195.0,111.6,49,3122,38
631,J.Clarke,10,3,230.8,341.7,151.0,72.2,53,1161,54
632,Ogbene,10,3,22.8,30.2,12.0,6.4,7,237,48
715,Godfrey,10,2,15.0,2.3,2.0,1.9,-1,158,40
