id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
621,João Félix,6,3,59,-6,0,0.0,4.1,24,2.0,0.4,163911,170986,0,0
695,Rak-Sakyi,6,3,45,0,0,0.0,0.0,0,0.0,0.0,694,502,0,0
696,George,6,3,45,0,0,0.2,3.8,17,2.1,0.0,4403,2304,0,0
697,Acheampong,6,2,40,0,0,0.0,1.0,4,1.0,0.1,14436,10420,0,0
740,Maresca,6,5,15,0,0,4.5,62.7,94,0.0,1.7,70327,37890,0,0
771,Amougou,6,3,45,0,0,0.0,0.2,1,1.0,0.0,412,240,0,0
774,Anselmino,6,2,40,0,0,0.0,0.0,0,0.0,0.0,480,304,0,0
781,Mheuka,6,4,45,0,0,0.0,0.2,1,1.0,0.0,5840,3217,0,0
782,Samuels-Smith,6,2,40,0,0,0.0,0.0,0,0.0,0.0,372,181,0,0
787,Genesis Antwi,6,2,40,0,0,0.0,0.0,0,0.0,0.0,225,113,0,0
11,Nketiah,7,4,59,-1,0,0.6,9.0,53,1.8,0.7,332394,321499,0,0
160,Chilwell,7,2,46,-4,0,0.4,2.8,13,1.6,0.5,56707,110689,0,0
190,Ahamada,7,3,45,0,0,0.0,0.0,0,0.0,0.1,6178,35185,0,0
193,C.Doucouré,7,3,48,-2,0,0.0,4.0,19,1.5,0.0,12980,20016,0,0
194,C.Richards,7,2,44,-1,0,0.6,15.5,68,2.8,0.2,39594,40987,0,0
195,Chadi Riad,7,2,43,-2,0,0.0,0.2,1,1.0,0.0,2767,14454,0,0
196,Clyne,7,2,43,-2,0,0.0,4.2,18,1.4,0.1,10509,15927,0,0
197,Ebiowei,7,3,45,0,0,0.0,0.0,0,0.0,0.0,0,481,0,0
199,Eze,7,3,70,0,0,1.3,21.1,148,4.4,14.6,3030839,4722130,0,0
200,Guéhi,7,2,47,2,0,0.5,24.7,116,3.4,5.7,1349618,1494548,0,0
201,Henderson,7,1,46,1,0,0.7,29.3,135,3.6,11.7,1875205,2293286,0,0
202,Holding,7,2,42,-3,0,0.0,0.0,0,0.0,0.1,3729,10465,0,0
203,Hughes,7,3,49,-1,0,0.4,13.7,67,2.0,0.0,14203,16110,0,0
205,Kamada,7,3,51,-4,0,0.2,8.8,45,1.3,0.1,16667,62189,0,0
206,Lerma,7,3,48,-2,0,0.4,12.1,58,1.8,0.1,14286,16376,0,0
207,Mateta,7,4,75,0,0,0.2,20.0,150,4.1,8.3,4153805,3894652,0,0
208,M.França,7,3,44,-1,0,0.1,2.0,9,2.2,0.2,125961,120611,0,0
209,Matthews,7,1,39,-1,0,0.0,0.0,0,0.0,0.4,38649,92806,0,0
210,Mitchell,7,2,48,-2,0,0.8,25.6,123,3.3,2.1,412152,434799,0,0
