id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,total_points,selected_by_percent
292,Golding,11,3,44,-1,0,1,0,1,0.2
293,Hermansen,11,1,44,-1,0,1,0,63,0.4
294,Iversen,11,1,39,-1,0,1,0,0,0.7
295,Justin,11,2,41,-4,0,4,0,70,1.2
296,Kristiansen,11,2,44,-1,0,1,0,34,0.1
297,Marcal,11,3,45,0,0,0,0,0,0.0
298,Mavididi,11,3,50,-5,0,5,0,72,0.3
299,McAteer,11,3,47,-3,0,3,0,35,0.0
300,Ndidi,11,3,49,-1,0,1,0,64,0.2
301,Okoli,11,2,40,0,0,0,0,27,0.4
302,Ricardo,11,2,41,-4,0,4,0,10,0.1
303,Souttar,11,2,40,0,0,0,0,0,0.0
304,Stolarczyk,11,1,40,0,0,0,0,25,0.5
305,Thomas,11,2,39,-1,0,1,0,27,1.4
306,Vardy,11,4,54,-1,0,1,0,128,5.2
307,Vestergaard,11,2,39,-1,0,1,0,11,1.5
308,Ward,11,1,39,-1,0,1,0,2,2.0
309,Winks,11,3,43,-2,0,2,0,40,4.7
501,Skipp,11,3,47,-3,0,3,0,27,0.0
570,A.Fatawu,11,3,51,-4,0,4,0,26,0.2
606,Alves,11,3,44,-1,0,1,0,1,0.1
616,Nelson,11,2,40,0,0,0,0,0,0.0
635,El Khannouss,11,3,48,-2,0,2,0,83,0.2
694,Cartwright,11,3,45,0,0,0,0,0,0.0
708,Wilson-Brown,11,2,40,0,0,0,0,0,0.0
726,Coulibaly,11,2,40,0,0,0,0,1,0.0
754,Van Nistelrooy,11,5,5,0,0,0,0,48,0.5
792,Monga,11,3,45,0,0,0,0,7,0.0
796,Olabade Aluko,11,2,40,0,0,0,0,1,0.0
797,Jake Evans,11,3,45,0,0,0,0,4,0.0
802,Braybrooke,11,3,45,0,0,0,0,0,0.0
310,A.Becker,12,1,55,0,0,0,0,112,8.4
311,Alexander-Arnold,12,2,72,2,0,-2,0,148,16.7
312,Bajcetic,12,3,45,0,0,0,0,0,0.0
313,Bradley,12,2,47,-3,0,3,0,41,1.2
315,Clark,12,3,45,0,0,0,0,0,0.0
316,Darwin,12,4,70,-5,0,5,0,66,1.9
317,Diogo J.,12,3,72,-3,0,3,0,87,2.6
318,Doak,12,3,45,0,0,0,0,0,0.0
319,Elliott,12,3,52,-3,0,3,0,33,0.3
320,Endo,12,3,46,-4,0,4,0,21,0.1
321,Gakpo,12,4,72,-3,0,3,0,127,5.4
322,Gomez,12,2,47,-3,0,3,0,14,0.4
323,Gravenberch,12,3,50,0,0,0,0,92,0.7
324,Jones,12,3,53,-2,0,2,0,87,0.2
325,Kelleher,12,1,39,-6,0,6,0,45,1.2
326,Konaté,12,2,53,3,0,-3,0,106,7.0
327,Luis Díaz,12,3,75,0,0,0,0,183,16.8
328,M.Salah,12,3,136,11,0,-11,0,344,66.3
329,Mac Allister,12,3,62,-3,0,3,0,122,1.7
330,McConnell,12,3,43,-2,0,2,0,0,0.1
331,Morton,12,3,44,-1,0,1,0,0,0.1
332,N.Phillips,12,2,40,0,0,0,0,0,0.1
333,Quansah,12,2,39,-6,0,6,0,9,1.0
334,R.Williams,12,2,40,0,0,0,0,0,0.0
335,Robertson,12,2,58,-2,0,2,0,91,4.0
336,Szoboszlai,12,3,61,-4,0,4,0,143,2.7
337,Tsimikas,12,2,46,-4,0,4,0,43,0.2
339,Virgil,12,2,67,7,0,-7,0,143,25.6
636,Chiesa,12,3,68,-2,0,2,0,7,0.2
660,Jaros,12,1,40,0,0,0,0,1,0.1
669,Davies,12,1,40,0,0,0,0,0,0.0
688,Nyoni,12,3,45,0,0,0,0,0,0.0
692,Nallo,12,2,40,0,0,0,0,0,0.0
