id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
349,Grealish,13,64,38,1,1,2,3,0,4,187,157.2,321.4,234.0,71.3,710,0.2,1.9
354,Kovačić,13,54,109,6,3,10,5,1,13,542,606.4,579.3,204.0,139.1,2194,2.0,3.5
356,Matheus N.,13,49,81,1,7,9,4,0,6,373,370.4,422.4,206.0,99.9,1670,3.5,3.1
357,McAtee,13,46,31,3,0,0,1,0,0,102,113.0,64.6,136.0,30.7,340,0.5,2.1
360,Rodrigo,13,62,3,0,0,0,0,0,0,21,12.2,17.5,0.0,3.0,72,0.2,1.0
571,Savinho,13,60,106,1,11,8,3,0,15,442,415.2,682.9,671.0,177.3,1760,0.5,3.7
607,O’Reilly,13,49,31,2,0,3,0,0,4,118,133.4,76.2,112.0,32.2,525,0.5,3.4
625,Gündogan,13,63,97,1,7,10,1,0,5,460,387.0,781.3,273.0,144.2,2218,5.8,2.9
671,Wright,13,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
765,N.Gonzalez,13,60,31,1,1,6,3,0,0,123,137.2,78.7,62.0,27.5,760,2.5,2.8
785,Echeverri,13,58,1,0,0,0,0,0,0,2,2.2,0.4,0.0,0.3,5,0.2,1.0
364,Amad,14,53,129,8,8,7,5,0,17,569,634.0,687.2,615.0,193.8,1898,5.5,5.0
365,Antony,14,57,8,0,0,0,0,0,0,37,35.0,50.7,74.0,15.8,135,0.0,1.0
366,B.Fernandes,14,84,174,8,12,10,3,2,28,810,1017.8,1407.7,587.0,300.8,3017,2.5,4.8
368,Casemiro,14,46,48,1,0,6,5,0,3,300,433.2,348.2,265.0,104.8,1489,1.0,2.0
370,Eriksen,14,52,45,1,2,4,4,0,0,228,235.8,474.3,79.0,78.9,1052,2.8,2.0
372,Garnacho,14,59,106,6,4,5,3,0,7,370,454.0,532.2,904.0,188.3,2188,3.5,2.9
373,Hannibal,14,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
378,Mainoo,14,52,42,0,0,5,5,0,0,229,196.6,250.8,137.0,58.8,1646,1.5,1.7
381,McTominay,14,49,2,0,0,0,0,0,0,4,3.2,0.3,5.0,0.9,17,0.0,1.0
382,Mount,14,63,25,1,0,3,3,0,0,74,104.0,140.0,218.0,45.6,613,3.2,1.5
384,Pellistri,14,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
613,Collyer,14,45,6,0,0,0,0,0,0,40,40.4,29.9,8.0,7.9,174,0.0,1.0
652,Ugarte,14,49,49,1,2,4,11,0,1,318,313.6,195.9,113.0,62.1,1777,1.2,1.7
667,Fletcher,14,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
673,Fitzgerald,14,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
778,Moorhouse,14,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
